2026-04-23 15:17:50,100 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17694
2026-04-23 15:17:51,606 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 15:17:53,089 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.677
2026-04-23 15:17:54,753 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 15:17:54,753 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 15:22:49,339 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17694
2026-04-23 15:22:50,829 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 15:22:52,077 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.679
2026-04-23 15:22:53,390 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 15:22:53,390 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 15:27:49,535 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17694
2026-04-23 15:27:51,031 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 15:27:52,308 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.68301
2026-04-23 15:27:53,710 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 15:27:53,710 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 15:32:49,214 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17694
2026-04-23 15:32:50,806 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
2026-04-23 15:32:52,175 | INFO | core.signal_engine | [USDJPY] filtered at premium_discount: zone does not match trade direction | side=BUY, zone=PREMIUM, bias=BULLISH, midpoint=158.68301
2026-04-23 15:32:53,470 | INFO | core.signal_engine | [GBPJPY] filtered at structure: no actionable BOS/CHoCH | trend=BULLISH, direction=NONE, event=none
2026-04-23 15:32:53,470 | INFO | engine | Scan completed | found=0 sent=0 pairs=4
2026-04-23 15:37:49,447 | INFO | core.signal_engine | [EURUSD] filtered at premium_discount: zone does not match trade direction | side=SELL, zone=DISCOUNT, bias=NEUTRAL, midpoint=1.17694
2026-04-23 15:37:51,114 | INFO | core.signal_engine | [GBPUSD] filtered at structure: no actionable BOS/CHoCH | trend=NEUTRAL, direction=NONE, event=none
